wasserstein,mae,rmse,real_mean,fake_mean,real_std,fake_std,epoch,critic_loss,gen_loss
0.11256220679336862,0.112741746,0.114540696,-3.6098296e-05,0.112526104,0.011579562,0.017658152,200,0.527014970779419,1.3743923902511597
0.018843241438757256,0.023780772,0.028936325,0.00010142007,-0.016944556,0.012168954,0.019934114,400,-0.06708942353725433,-6.285097599029541
0.005566851025462984,0.012110912,0.022064254,-4.1503892e-05,0.0014501837,0.0114012165,0.018828986,600,-0.007823757827281952,-12.834906578063965
0.035801226915336284,0.037423875,0.043415356,0.00010866403,0.035130974,0.011348084,0.023057891,800,-0.06323181837797165,1.453153371810913
0.009568081246061138,0.0156165,0.0259526,0.00019912484,0.0066539245,0.011325688,0.022381492,1000,0.02213473804295063,-10.29238510131836
0.020629896174318218,0.02316548,0.026159944,-8.2753366e-05,-0.020510728,0.011381946,0.011795116,1200,0.03462129086256027,-8.829812049865723
0.007574124929054536,0.0134845935,0.017319068,0.00011709857,-0.0067399535,0.010844939,0.011699244,1400,-0.02607598528265953,-5.9141950607299805
0.0047761730448262225,0.009158925,0.014744297,2.5118645e-05,-0.00015029962,0.012420622,0.008055709,1600,-0.0034715740475803614,-2.6596622467041016
0.015690684832424057,0.024170825,0.031741697,7.776505e-05,0.0064340793,0.010964091,0.029157527,1800,0.01057225652039051,-3.9527857303619385
0.023740149532158347,0.028989626,0.03405369,4.1729665e-05,0.023359645,0.012176384,0.021520542,2000,-0.009963879361748695,-6.188480377197266
0.02018584876940246,0.023564652,0.028394742,-1.4277522e-05,0.020019462,0.012880255,0.015625507,2200,-0.0719054639339447,1.573320984840393
0.009800258941044498,0.012925706,0.016797464,-7.337449e-05,0.009234695,0.011236411,0.008324888,2400,-0.005876236129552126,2.6887431144714355
0.027334261743236735,0.029265538,0.03449036,-7.27413e-05,0.027091358,0.011166983,0.017998073,2600,-0.05940689891576767,-1.3084477186203003
0.026222920651440076,0.029063955,0.033753157,-6.206517e-05,-0.026141891,0.01150686,0.018103505,2800,0.10561521351337433,-2.3263914585113525
0.0016819471707325048,0.011850189,0.018456714,-8.322943e-05,-0.0007199304,0.012040951,0.014135578,3000,-0.018325719982385635,0.19711896777153015
