<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SPX;D;210104;0;3768.4;3769.99;3662.71;3701.09;38903
SPX;D;210105;0;3698.02;3737.83;3695.07;3727.05;37594
SPX;D;210106;0;3708.07;3783.04;3705.34;3748.14;38416
SPX;D;210107;0;3764.71;3811.55;3764.71;3803.68;37426
SPX;D;210108;0;3815.05;3826.69;3783.6;3824.68;38527
SPX;D;210111;0;3803.14;3817.86;3789.02;3799.82;37927
SPX;D;210112;0;3802.16;3810.78;3776.51;3802.55;38010
SPX;D;210113;0;3802.23;3820.96;3791.5;3809.89;37289
SPX;D;210114;0;3814.98;3823.6;3792.86;3795.8;33358
SPX;D;210115;0;3780.57;3787.48;3749.62;3768.25;38234
SPX;D;210119;0;3781.88;3804.53;3780.37;3798.91;37423
SPX;D;210120;0;3816.22;3859.75;3816.22;3852.97;37365
SPX;D;210121;0;3857.74;3861.45;3845.05;3853.07;37284
SPX;D;210122;0;3835.71;3852.31;3830.41;3841.47;37457
SPX;D;210125;0;3852.36;3859.23;3797.16;3855.36;39191
SPX;D;210126;0;3862.96;3870.9;3847.78;3849.62;37954
SPX;D;210127;0;3820.14;3820.14;3732.48;3750.77;39591
SPX;D;210128;0;3769.46;3830.5;3755.75;3787.38;39384
SPX;D;210129;0;3778.05;3778.05;3694.12;3714.24;39664
SPX;D;210201;0;3743.87;3784.32;3725.62;3773.86;38702
SPX;D;210202;0;3791.84;3843.09;3791.84;3826.31;37603
SPX;D;210203;0;3839.16;3847.51;3816.68;3830.17;38004
SPX;D;210204;0;3836.66;3872.42;3836.66;3871.74;36932
SPX;D;210205;0;3890.48;3894.56;3874.93;3886.83;31582
SPX;D;210208;0;3892.59;3915.61;3892.59;3915.59;36956
SPX;D;210209;0;3907.91;3918.35;3902.64;3911.23;36479
SPX;D;210210;0;3920.78;3931.5;3884.94;3909.88;37765
SPX;D;210211;0;3916.4;3925.99;3890.39;3916.38;37490
SPX;D;210212;0;3911.65;3937.23;3905.78;3934.83;36647
SPX;D;210216;0;3948.57;3950.43;3923.85;3932.59;37543
SPX;D;210217;0;3918.5;3933.61;3900.43;3931.33;37860
SPX;D;210218;0;3915.86;3921.98;3885.03;3913.97;37558
SPX;D;210219;0;3921.16;3930.41;3903.07;3906.71;37601
SPX;D;210222;0;3885.55;3902.92;3874.71;3892.84;28454
SPX;D;210223;0;3852.49;3895.98;3805.59;3881.37;22074
SPX;D;210224;0;3869.3;3928.65;3859.6;3925.43;21739
SPX;D;210225;0;3915.8;3925.02;3814.08;3829.34;22166
SPX;D;210226;0;3847.86;3861.08;3789.54;3811.15;22120
SPX;D;210301;0;3861.29;3914.5;3861.16;3901.82;21435
SPX;D;210302;0;3905.38;3906.41;3868.57;3870.29;21463
SPX;D;210303;0;3863.31;3874.47;3818.9;3819.72;21955
SPX;D;210304;0;3818.26;3843.39;3723.34;3768.47;21847
SPX;D;210305;0;3793.58;3851.69;3730.19;3841.94;22137
SPX;D;210308;0;3844.39;3881.06;3819.25;3821.35;22020
SPX;D;210309;0;3851.93;3903.76;3851.93;3875.44;21680
SPX;D;210310;0;3903.37;3917.35;3885.73;3898.81;21972
SPX;D;210311;0;3925.65;3960.27;3921.52;3939.34;21348
SPX;D;210312;0;3922.66;3944.99;3915.21;3943.34;21014
SPX;D;210315;0;3945.0;3970.07;3923.54;3968.94;21161
SPX;D;210316;0;3973.59;3981.04;3953.44;3962.71;21438
SPX;D;210317;0;3947.0;3983.87;3935.74;3974.12;21622
SPX;D;210318;0;3953.5;3969.62;3911.1;3915.46;21707
SPX;D;210319;0;3913.14;3930.12;3886.75;3913.1;21690
SPX;D;210322;0;3915.83;3955.31;3914.16;3940.59;21276
SPX;D;210323;0;3934.39;3949.13;3901.57;3910.52;21687
SPX;D;210324;0;3919.93;3942.08;3889.12;3889.14;21728
SPX;D;210325;0;3879.34;3919.54;3853.5;3909.52;22085
SPX;D;210326;0;3917.12;3978.15;3917.12;3974.54;21785
SPX;D;210329;0;3962.61;3981.83;3943.25;3971.09;21656
SPX;D;210330;0;3958.55;3968.01;3944.35;3958.55;21307
SPX;D;210331;0;3967.45;3994.41;3966.98;3972.89;21092
SPX;D;210401;0;3992.78;4020.63;3992.78;4019.87;20828
SPX;D;210405;0;4047.93;4083.42;4047.24;4077.91;21048
SPX;D;210406;0;4072.22;4086.23;4068.14;4073.94;21004
SPX;D;210407;0;4074.26;4083.13;4068.31;4079.95;20923
SPX;D;210408;0;4092.72;4098.19;4082.54;4097.17;32710
SPX;D;210409;0;4096.11;4129.48;4095.51;4128.8;33273
SPX;D;210412;0;4124.71;4131.76;4114.82;4127.99;33889
SPX;D;210413;0;4128.36;4148.0;4124.43;4141.59;33679
SPX;D;210414;0;4141.34;4151.69;4120.87;4124.66;34281
SPX;D;210415;0;4148.06;4173.49;4139.76;4170.42;34087
SPX;D;210416;0;4185.48;4191.31;4170.75;4185.47;33467
SPX;D;210419;0;4176.74;4180.81;4150.47;4163.26;34658
SPX;D;210420;0;4154.61;4159.18;4118.38;4134.94;34768
SPX;D;210421;0;4126.82;4175.02;4126.35;4173.42;33911
SPX;D;210422;0;4170.46;4179.57;4123.69;4134.98;34431
SPX;D;210423;0;4141.06;4194.17;4138.78;4180.17;33606
SPX;D;210426;0;4189.06;4194.19;4182.36;4187.62;33265
SPX;D;210427;0;4189.89;4193.35;4176.22;4186.72;33391
SPX;D;210428;0;4185.14;4201.53;4181.78;4183.18;34145
SPX;D;210429;0;4216.5;4218.78;4176.81;4211.47;34869
SPX;D;210430;0;4198.1;4198.1;4174.85;4181.17;34606
SPX;D;210503;0;4191.98;4209.39;4188.03;4192.66;32044
SPX;D;210504;0;4179.04;4179.04;4128.59;4164.66;35066
SPX;D;210505;0;4184.84;4187.72;4160.94;4167.59;33990
SPX;D;210506;0;4169.34;4202.7;4147.33;4201.62;34626
SPX;D;210507;0;4210.34;4238.04;4201.64;4232.6;34130
SPX;D;210510;0;4228.29;4236.39;4188.13;4188.43;34566
SPX;D;210511;0;4135.07;4162.04;4111.53;4152.1;35449
SPX;D;210512;0;4123.15;4134.73;4056.88;4063.04;35351
SPX;D;210513;0;4080.68;4131.58;4074.99;4112.5;35411
SPX;D;210514;0;4129.58;4183.13;4129.58;4173.85;33604
SPX;D;210517;0;4163.9;4171.92;4142.69;4163.29;34660
SPX;D;210518;0;4168.14;4169.15;4125.99;4127.83;33868
SPX;D;210519;0;4073.8;4116.93;4061.41;4115.68;35206
SPX;D;210520;0;4124.95;4172.8;4121.97;4159.12;32558
SPX;D;210521;0;4168.61;4188.72;4151.72;4155.86;33925
SPX;D;210524;0;4170.16;4209.52;4170.16;4197.05;32755
SPX;D;210525;0;4205.94;4213.42;4182.52;4188.13;33807
SPX;D;210526;0;4191.59;4202.61;4184.11;4195.99;32667
SPX;D;210527;0;4201.94;4213.38;4197.78;4200.88;32837
SPX;D;210528;0;4210.77;4218.36;4203.57;4204.11;32586
SPX;D;210601;0;4231.74;4234.12;4197.59;4202.04;33114
SPX;D;210602;0;4206.82;4217.37;4198.27;4208.12;33157
SPX;D;210603;0;4184.09;4204.39;4167.93;4192.85;33784
SPX;D;210604;0;4206.05;4233.45;4206.05;4229.89;32272
SPX;D;210607;0;4229.34;4232.34;4215.66;4226.52;33329
SPX;D;210608;0;4233.81;4236.74;4208.41;4227.26;33359
SPX;D;210609;0;4235.03;4237.09;4218.74;4219.55;32536
SPX;D;210610;0;4233.99;4249.74;4220.34;4239.18;33381
SPX;D;210611;0;4242.9;4248.38;4232.25;4247.44;32108
