<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
VXX;D;180119;000000;1731.2;1751.68;1716.48;1721.6;134
VXX;D;180122;000000;1697.9264;1697.9328;1697.9264;1697.9328;3
VXX;D;180123;000000;1708.8;1720.32;1708.8;1720.32;34
VXX;D;180124;000000;1785.2672;1785.2672;1770.24;1770.24;14
VXX;D;180129;000000;1868.8;1893.12;1868.8;1893.12;14
VXX;D;180130;000000;1970.56;2035.84;1951.36;1955.2;577
VXX;D;180131;000000;1917.44;1963.52;1917.44;1961.6;140
VXX;D;180201;000000;1929.6;1929.6;1850.88;1862.8736;158
VXX;D;180202;000000;1922.56;2131.2;1921.92;2102.4;432
VXX;D;180205;000000;2172.16;2839.68;2088.32;2807.04;806
VXX;D;180206;000000;2944;3718.4;2759.392;2759.392;153
VXX;D;180207;000000;2799.36;2885.76;2682.8736;2850.56;404
VXX;D;180208;000000;2907.52;3531.52;2903.04;3531.52;1514
VXX;D;180209;000000;3182.08;3609.6;3136;3217.92;589
VXX;D;180212;000000;3089.92;3205.12;3072;3107.2;157
VXX;D;180213;000000;3123.84;3139.84;3046.4;3070.08;357
VXX;D;180214;000000;3028.48;3029.12;2708.48;2718.72;1210
VXX;D;180215;000000;2625.92;2741.76;2616.64;2656;187
VXX;D;180216;000000;2700.8;2735.36;2595.84;2695.68;243
VXX;D;180220;000000;2764.8;2859.52;2744.96;2805.76;615
VXX;D;180221;000000;2778.24;2850.56;2629.12;2848;1574
VXX;D;180222;000000;2767.36;2848.64;2739.2;2810.88;687
VXX;D;180223;000000;2721.28;2743.04;2590.08;2591.36;463
VXX;D;180226;000000;2516.48;2528.64;2476.8;2513.92;39
VXX;D;180227;000000;2506.9568;2727.68;2506.9568;2714.24;969
VXX;D;180228;000000;2644.48;2837.12;2636.8;2826.24;147
VXX;D;180301;000000;2804.48;3156.48;2804.48;3020.8;681
VXX;D;180302;000000;3179.52;3233.28;2887.68;2887.68;558
VXX;D;180305;000000;2942.08;2942.08;2754.56;2781.44;124
VXX;D;180306;000000;2759.68;2880.64;2759.68;2796.16;309
VXX;D;180307;000000;2848;2848;2753.92;2754.56;50
VXX;D;180308;000000;2725.12;2726.4;2725.12;2725.76;28
VXX;D;180309;000000;2580.48;2580.48;2448;2448;58
VXX;D;180312;000000;2490.88;2560;2490.88;2544.64;27
VXX;D;180313;000000;2565.12;2605.44;2565.12;2605.44;23
VXX;D;180314;000000;2591.36;2686.08;2591.36;2662.4;365
VXX;D;180315;000000;2576.64;2604.16;2576.64;2588.16;9
VXX;D;180316;000000;2515.2;2515.2;2515.2;2515.2;13
VXX;D;180319;000000;2580.48;2891.52;2580.48;2775.68;200
VXX;D;180320;000000;2757.12;2757.12;2722.56;2722.56;13
VXX;D;180321;000000;2685.44;2695.68;2547.2;2623.36;239
VXX;D;180322;000000;2890.2336;3041.92;2779.52;3020.8;355
VXX;D;180323;000000;3010.56;3201.28;2913.28;3200;462
VXX;D;180326;000000;3016.96;3150.08;2963.2;2963.2;112
VXX;D;180327;000000;2963.2;3238.4;2963.2;3185.92;528
VXX;D;180328;000000;3278.72;3296;3206.08;3206.08;36
VXX;D;180329;000000;3136;3136;3136;3136;5
VXX;D;180402;000000;3114.2464;3418.88;3100.16;3317.76;67
VXX;D;180403;000000;3235.84;3274.88;3175.68;3175.68;8
VXX;D;180404;000000;3367.68;3374.08;3106.56;3115.52;26
VXX;D;180405;000000;3031.68;3031.68;3031.68;3031.68;6
VXX;D;180406;000000;3066.24;3308.8;3066.24;3187.2;13
VXX;D;180410;000000;3187.2;3187.2;3187.2;3187.2;2
VXX;D;180413;000000;2942.72;2942.72;2942.72;2942.72;9
VXX;D;180416;000000;2793.6;2793.6;2793.6;2793.6;2
VXX;D;180417;000000;2579.2;2579.2064;2579.2;2579.2064;3
VXX;D;180418;000000;2640.64;2640.64;2593.28;2595.84;12
VXX;D;180419;000000;2667.52;2709.76;2621.44;2622.08;33
VXX;D;180420;000000;2723.2;2723.2;2695.04;2695.04;11
